ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
1098030430;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\lake_scene.w2scene""";Line text;GRLT_LAKE_1098030430;;;;;;;;Niedawno tędy przechodziła. Trop jest świeży.;;;;;;Came through here recently. Trail's fresh.;;;;
1098030431;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\lake_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030432;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\lake_scene.w2scene""";Line text;GRLT_LAKE_1098030432;;;;;;;;Czas ruszać.;;;;;;Should get going.;;;;
1098030433;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\door_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030434;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\door_scene.w2scene""";Line text;GRLT_DOOR_1098030434;;;;;;;;Zbliża się burza. Świetnie.;;;;;;Storm's coming. Great.;;;;
1098030435;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\door_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030436;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\door_scene.w2scene""";Line text;GRLT_DOOR_1098030436;;;;;;;;Przeczekam ją i wrócę rano.;;;;;;Should wait it out. Come back in the morning.;;;;
1098030437;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030438;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030438;;;;;;;;No to wracam do pracy.;;;;;;Should get to work.;;;;
1098030439;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;0;;;;;;to himself, investigating;;;;
1098030440;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030440;;;;;;;;Hm. A co my tu mamy...?;;;;;;Hmm, what do we have here...?;;;;
1098030441;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;0;;;;;;Anezka from far away;;;;
1098030442;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030442;;;;;;;;Hej! Panie! Co tu robicie?;;;;;;Hey! Mister! What are you doing here?;;;;
1098030443;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030444;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030444;;;;;;;;Och... Przepraszam, panie!;;;;;;Uh... excuse me, mister!;;;;
1098030445;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030446;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030446;;;;;;;;Zauważyłaś albo usłyszałaś coś szczególnego?;;;;;;Anything of note that you may have seen or heard?;;;;
1098030447;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030448;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030448;;;;;;;;Ano... Mój mąż to, prawdę mówiąc, ma słuch jak koń w burzę, więc jak go spytacie, to zaraz zacznie kręcić głową i mówić, że nic takiego nie było... Ale ja naprawdę słyszałam wczoraj hałas, tam przy naszych płotach. Brzmiało to bardziej jak ludzie niż jak jakieś bestie... Branek swoje gada, że to niemożliwe, ale ja wiem, co słyszałam. I nie wydaje mi się, żeby jakiekolwiek potwory umieli sklecać zdania!;;;;;;Well, my husband's senses are as dull as dirt to tell the truth, so if you ask him to confirm this he will nay in dismay, but I really did hear a ruckus last night, near our fences. Sounded like people more than some kind of beast... Branek says that can't be, but I know what I heard, and I don't think monsters can form sentences as of yet in this world!;;;;
1098030449;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030450;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030450;;;;;;;;Zdziwiłabyś się...;;;;;;You'd be surprised...;;;;
1098030451;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030452;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line;;;;;;;;;Dobrze, przyjrzę się temu.;;;;;;Alright. I'll go have a look.;;;;
1098030453;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030454;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line;;;;;;;;;Zauważyłaś albo usłyszałaś coś szczególnego?;;;;;;Did you see or hear anything?;;;;
1098030455;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030456;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Choice line;;;;;;;;;Skąd pomysł na życie tutaj?;;;;;;Branek said you invested in this land recently. Why here?;;;;
1098030457;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030458;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030458;;;;;;;;Twój mąż mówił, że niedawno zainwestowaliście w tę ziemię. Czemu tutaj? I czemu teraz, kiedy Nilfgaard stoi wam niemal pod samym progiem?;;;;;;Your husband said you invested in this land recently. Why here? Why now with the Nilfgardians at your doorstep?;;;;
1098030459;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030460;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030460;;;;;;;;Ach, mój Branek zawsze wierzył w swój 'kupiecki nos', jak sam to nazywa. Od dnia, w którym spotkaliśmy się na targu w Wyzimie, bez końca gadał o nowych sposobach na zarobek.;;;;;;Oh well, Branek always had faith in his 'merchant's wit', or so he calls it. Since the day we met at the marketplace in Vizima, he's been on and on with his ideas for new financial opportunities.;;;;
1098030461;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030462;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030462;;;;;;;;Chodzi pewnie o Plac Solny. Chcesz powiedzieć, że połączyła was niewidzialna ręka wolnego rynku, a nie miłość od pierwszego wejrzenia?;;;;;;Salt Square, I'm guessing. Mean to tell me the invisible hand of the market brought you together, or was it love at first sight?;;;;
1098030463;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030464;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030464;;;;;;;;Coś w jego gadaniu o przyszłości zrobiło na mnie wrażenie. Porządny, przewidujący chłop to dziś rzadkość.;;;;;;Eh, something about the way he planned out his future made an impression on a lass like me. A reliable man is hard to come by these days!;;;;
1098030465;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030466;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030466;;;;;;;;Najsampierw, myślałam sobie, że z tych jego marzeń to nic, jeno same rozczarowania, ale jakoś na koniec zawsze wszystko wychodziło mu na dobre.;;;;;;Anyway, his dreams were going to bring nothin but disappointment, I said to meself, but they always did seem to turn out in his favor.;;;;
1098030467;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030468;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030468;;;;;;;;Wygląda na to, że nie w tym przypadku. Albo coś zwyczajnie nie lubi kupców z dobrym węchem.;;;;;;Seems like some of his luck ran out though. Either that, or there's some monster that dislikes merchants.;;;;
1098030469;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030470;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030470;;;;;;;;Dobrze. Rzucę na to okiem. Może znajdę jakieś ślady.;;;;;;Alright, I'll go have a look. See if I can't find anything.;;;;
1098030471;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030472;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030472;;;;;;;;Zatem połamania nóg, mistrzu!;;;;;;Break a leg.;;;;
1098030473;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030474;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030474;;;;;;;;Co wy tam robicie?;;;;;;What are you doing there?;;;;
1098030475;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030476;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030476;;;;;;;;Ty pewnie jesteś Anezka. Przysyła mnie twój mąż. Jestem Geralt. Mówił, że macie mały problem z potworem.;;;;;;You must be Anezka. Your husband sent me. Name's Geralt. Said you had a bit of a monster problem.;;;;
1098030477;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030478;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030478;;;;;;;;A juści, mistrzu... Źle się porobiło. Tam, na polu leżą... Wszystkie mućki przez noc wybite. Co za plugastwo mogło takiej rzeczy dokonać?;;;;;;Aye master, aye. Quite unfortunate see, our cattle lay dead in the field over there. All of 'em killed in one night. What foul creature could do such a thing?;;;;
1098030479;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030480;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030480;;;;;;;;Dla bestii bydło to łatwa zdobycz. Nie stawia się jak ich typowa przekąska.;;;;;;Easy pray as far as farm animals go. Not much resistance compared to the usual monster feed.;;;;
1098030481;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030482;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030482;;;;;;;;Czyli?;;;;;;That being?;;;;
1098030483;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030484;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030484;;;;;;;;Ludzie.;;;;;;People.;;;;
1098030485;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030486;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030486;;;;;;;;Ach, tak... To ci dopiero okropieństwo!;;;;;;Oh yes... Horrifying.;;;;
1098030487;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030488;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030488;;;;;;;;Och... Przepraszam, panie!;;;;;;Uh... excuse me, mister!;;;;
1098030489;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030490;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030490;;;;;;;;Co wy tu robicie?;;;;;;What are you doing there?;;;;
1098030491;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030492;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030492;;;;;;;;Tylko zwiedzam.;;;;;;Going for a walk, I guess.;;;;
1098030493;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030494;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030494;;;;;;;;Tak między trupami? Dziwny z was jegomość;;;;;;In there 'round the corpses? Weird fellow, ain't ya?;;;;
1098030495;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030496;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030496;;;;;;;;Chwileczkę... Ojej! Jesteście wiedźminem!;;;;;;Wait a second... Oh! You're a witcher.;;;;
1098030497;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030498;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030498;;;;;;;;Po czym wnosisz?;;;;;;What gave it away?;;;;
1098030499;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030500;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030500;;;;;;;;Och, wybaczcie. Ja pomyślałam, że...;;;;;;Oh, I'm very sorry, master witcher. I just thought that--;;;;
1098030501;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030502;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030502;;;;;;;;Spokojnie. Rozumiem.;;;;;;Relax. I understand.;;;;
1098030503;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030504;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030504;;;;;;;;Wygląda na to, że macie dla mnie zlecenie. Czy się mylę? Jestem Geralt.;;;;;;Name's Geralt. Looks like you might have a monster problem, or am I wrong?;;;;
1098030505;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030506;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030506;;;;;;;;A jużci mistrzu...;;;;;;Oh aye, aye, we do.;;;;
1098030507;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030508;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030508;;;;;;;;Mój mąż pobiegł rano szukać pomocy, ale wygląda na to, że samiście nas znaleźli. Dzięki bogom!;;;;;;My husband went to look for help this mornin', but it seems help found its way to us, thank the Gods.;;;;
1098030509;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030510;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030510;;;;;;;;Na to wygląda. Przy okazji, twój mąż wybiegł cały na biało?;;;;;;Seems like it. By the way, did your husband dress in white before leaving, by any chance?;;;;
1098030511;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030512;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030512;;;;;;;;Ano! Skąd o tym wiecie?;;;;;;Aye, he did. But how'd you know?;;;;
1098030513;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030514;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030514;;;;;;;;Spotkałem go wcześniej. Zdążył mi co nieco powiedzieć, ale wtedy nie miałem dla niego czasu.;;;;;;I met him earlier. Got some of the details. Didn't have the time to hear him out fully back then though.;;;;
1098030515;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030516;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030516;;;;;;;;Rozumiem... Ale teraz już macie, prawda? Pomożecie nam, prawda?;;;;;;I see... but now you do, right? You'll help us, right?;;;;
1098030517;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030518;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030518;;;;;;;;Ech, jak już i tak tu jestem... Dobrze. Pomogę wam.;;;;;;Eh, since I'm already here. Sure, why not. I'll help you.;;;;
1098030519;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030520;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030520;;;;;;;;Niech bogowie cię mają w opiece! Dziękuję, mistrzu wiedźminie!;;;;;;Ah, thank you, master witcher!;;;;
1098030521;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030522;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030522;;;;;;;;Ty pewnie jesteś Anezka. Przysyła mnie twój mąż. Jestem Geralt. Mówił, że macie mały problem z potworem.;;;;;;You must be Anezka. Your husband sent me. Name's Geralt. Said you had a bit of a monster problem.;;;;
1098030523;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030524;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030524;;;;;;;;A jużci, mistrzu... Źle się porobiło. Tam, na polu leżą... Wszystkie mućki przez noc wybite. Co za plugastwo mogło takiej rzeczy dokonać?;;;;;;Aye, master, aye. Quite unfortunate see, our cattle lay dead in the field over there. All of 'em killed in one night. What foul creature could do such a thing?;;;;
1098030525;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030526;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030526;;;;;;;;Tego właśnie chciałbym się dowiedzieć. Mam już kilka wskazówek.;;;;;;That's what I'm about to find out. Got a few leads already.;;;;
1098030527;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030528;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030528;;;;;;;;Hm. A co my tu mamy...?;;;;;;Hmm, what do we have here...?;;;;
1098030529;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030530;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030530;;;;;;;;Hej! Panie! Co tu robicie?;;;;;;Hey! Mister! What are you doing here?;;;;
1098030531;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030532;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030532;;;;;;;;Czy to... Paula?!;;;;;;Is that... Milgra?!;;;;
1098030533;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030534;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030534;;;;;;;;Panie, to znaczy... mistrzu wiedźminie, znalazłeś Paulę! Myśmy z mężem myśleli, że już jej się zmarło! Ale jakim cudem?!;;;;;;Mister, err, I mean... master witcher, you found Milgra! My husband and I thought she was dead! But how?!;;;;
1098030535;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030536;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030536;;;;;;;;Była w lesie. Omal nie wpadła na niedźwiedzia. Dobrze, że znalazłem ją pierwszy.;;;;;;She was in the forest. Almost got killed by a bear though. Good thing I ran into her before that happened.;;;;
1098030537;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030538;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030538;;;;;;;;Poszedłem po jej śladach. I tak trafiłem tutaj.;;;;;;Followed her tracks back and here we are.;;;;
1098030539;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030540;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030540;;;;;;;;Czyli to nasz szczęśliwy dzień! No, nie licząc tego, co się stało wczoraj...;;;;;;Today must be our lucky day then. Well, not counting the tragedy yesterday...;;;;
1098030541;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030542;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030542;;;;;;;;Zauważyłem. Chyba spotkałem wcześniej twojego męża. Ubrany na biało, wyglądał jak ktoś nie z tej okolicy. Kojarzysz?;;;;;;Can tell. Think I ran into your husband earlier. Dressed in white, looking a bit out of place. Ring a bell?;;;;
1098030543;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030544;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;ANAB_PASTURE_1098030544;;;;;;;;Ano. Branek. Poszedł szukać pomocy.;;;;;;Aye, aye. Branek. He went looking for help.;;;;
1098030545;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line comment;;;;;;;;;#N/A;;;;;;;;;;
1098030546;"CStoryScene ""dlc\dlc_cows_and_cults\data\quests\quest_files\scenes\pasture_scene.w2scene""";Line text;GRLT_PASTURE_1098030546;;;;;;;;Tak... Pamiętam, że mówił coś o zarżniętych krowach. Wtedy nie miałem czasu się temu przyjrzeć.;;;;;;Yeah... Can recall he said something slaughtered his cows. Didn't have the time to look into it at the time.;;;;
